id,title,description
1,Netral,Tidak mengandung indikasi apapun
2,Pasal 207 KUHP,"Barang siapa dengan sengaja dimuka umum, dengan lisan atau tulisan menghina kekuasaan yang ada di Negara Indonesia atau sesuatu majelis umum yang ada di sana, dihukum penjara selama-lamanya satu tahun enam bulan atau denda sebanyak-banyaknya Rp4.500.000"
3,Pasal 27 ayat (3) UU ITE,Setiap Orang dengan sengaja dan tanpa hak mendistribusikan dan/atau mentransmisikan dan/atau membuat dapat diaksesnya Informasi Elektronik dan/atau Dokumen Elektronik yang memiliki muatan penghinaan dan/atau pencemaran nama baik
4,Pasal 29 UU ITE,Setiap Orang dengan sengaja dan tanpa hak mengirimkan Informasi Elektronik dan/atau Dokumen Elektronik yang berisi ancaman kekerasan atau menakut-nakuti yang ditujukan secara pribadi
5,Pasal 28 ayat (2) UU ITE,"Setiap Orang dengan sengaja dan tanpa hak menyebarkan informasi yang ditujukan untuk menimbulkan rasa kebencian atau permusuhan individu dan/atau kelompok masyarakat tertentu berdasarkan atas suku, agama, ras, dan antargolongan (SARA)"
